Name,Student ID,Email,Gender,Course,Hobbies,Academic Interests,Extracurricular Interests,Past Club Involvement,Past Clubs,Skills,Preferred Content Types,Activity Frequency
Rachael Campbell,STU1015,cordovamary@example.net,Male,Physics,"['Writing', 'Gaming', 'Travel']","['Data Science', 'Biology']","['Music Band', 'Photography']",No,"['sure', 'attack']",['Writing'],"['Podcasts', 'Articles', 'Events']",Weekly
Jose Young,STU1016,lisa70@example.com,Male,Physics,"['Music', 'Reading']","['AI', 'Mathematics']",['Drama'],No,[],"['Programming', 'Public Speaking']","['Tutorials', 'Podcasts']",Bi-weekly
Derek Jones,STU1017,collinsbetty@example.org,Male,Engineering,"['Gaming', 'Writing']",['Literature'],['Music Band'],No,[],['Leadership'],"['Videos', 'Podcasts']",Weekly
Jose Blake,STU1018,pjohnson@example.net,Other,History,"['Gaming', 'Science', 'Arts']","['Physics', 'Literature', 'Mathematics']","['Photography', 'Debate', 'Sports Teams']",Yes,[],"['Event Planning', 'Design']",['Articles'],Monthly
Robert Ramos,STU1019,rebecca82@example.com,Other,Engineering,['Cooking'],"['Data Science', 'Engineering', 'Physics']",['Photography'],No,"['much', 'speech']",['Leadership'],"['Events', 'Tutorials', 'Videos']",Weekly
Micheal Gonzalez,STU1020,ijenkins@example.net,Female,Engineering,"['Science', 'Cooking', 'Gaming']","['Mathematics', 'History', 'Literature']","['Robotics', 'Photography', 'Sports Teams']",No,"['answer', 'however']",['Event Planning'],"['Videos', 'Events']",Bi-weekly
Kaitlyn Jennings,STU1021,ncopeland@example.org,Female,Physics,"['Reading', 'Arts']","['Literature', 'History']","['Robotics', 'Volunteering']",Yes,[],"['Leadership', 'Programming']","['Podcasts', 'Events']",Weekly
Dale Rivera,STU1022,amandamitchell@example.org,Other,Engineering,"['Sports', 'Travel']",['Biology'],['Photography'],No,[],['Event Planning'],"['Tutorials', 'Videos']",Monthly
Steven Lee,STU1023,wendy62@example.net,Female,Physics,"['Travel', 'Writing', 'Science']","['AI', 'Biology']","['Drama', 'Sports Teams']",Yes,[],"['Public Speaking', 'Leadership']","['Tutorials', 'Videos']",Monthly
Dalton Jones,STU1024,bradysarah@example.org,Female,Mathematics,"['Travel', 'Arts', 'Cooking']",['AI'],"['Robotics', 'Debate', 'Volunteering']",No,[],"['Leadership', 'Writing']","['Articles', 'Podcasts']",Weekly
Charles Cannon,STU1025,lhill@example.net,Other,Physics,"['Reading', 'Science']","['Mathematics', 'Biology', 'AI']","['Debate', 'Music Band']",Yes,[],"['Public Speaking', 'Programming']",['Videos'],Weekly
Savannah Brown,STU1026,wtaylor@example.com,Other,Physics,['Music'],['Literature'],['Drama'],No,[],"['Public Speaking', 'Programming']","['Tutorials', 'Articles', 'Podcasts']",Weekly
Amber Hansen,STU1027,williamsjordan@example.org,Female,Physics,['Technology'],"['Engineering', 'History']",['Sports Teams'],No,[],"['Public Speaking', 'Event Planning', 'Design']",['Events'],Monthly
Robert Kemp,STU1028,dennis47@example.net,Male,Physics,"['Reading', 'Writing', 'Technology']","['Physics', 'Engineering', 'Mathematics']","['Drama', 'Photography', 'Debate']",Yes,[],"['Writing', 'Public Speaking']","['Podcasts', 'Tutorials']",Bi-weekly
Jeffrey Harris,STU1029,aaronallen@example.org,Male,Computer Science,"['Arts', 'Writing', 'Music']",['AI'],['Music Band'],Yes,[],['Event Planning'],"['Videos', 'Podcasts']",Monthly
Kimberly Ramos,STU1030,nguyenjames@example.com,Other,Engineering,['Travel'],['History'],['Music Band'],Yes,[],['Writing'],"['Articles', 'Events']",Monthly
Paul Neal,STU1031,howardolson@example.com,Female,Literature,"['Sports', 'Arts', 'Science']","['Biology', 'Data Science']",['Sports Teams'],Yes,"['their', 'heavy']","['Event Planning', 'Leadership', 'Programming']","['Tutorials', 'Videos']",Monthly
Kerry Carpenter,STU1032,hayessamuel@example.org,Male,Engineering,"['Reading', 'Technology']","['AI', 'Mathematics']","['Robotics', 'Sports Teams', 'Drama']",No,[],"['Leadership', 'Programming']","['Podcasts', 'Videos']",Weekly
Elizabeth Martinez,STU1033,kellywatson@example.net,Male,Computer Science,"['Cooking', 'Sports', 'Gaming']",['Physics'],"['Debate', 'Sports Teams']",Yes,[],['Programming'],"['Articles', 'Events']",Weekly
John Jimenez,STU1034,clintonpeterson@example.net,Female,History,"['Music', 'Gaming', 'Reading']",['Literature'],"['Music Band', 'Photography', 'Drama']",Yes,[],"['Design', 'Leadership', 'Writing']","['Podcasts', 'Tutorials', 'Events']",Bi-weekly
Kara Oconnor,STU1035,eduran@example.org,Male,Biology,"['Technology', 'Sports']","['AI', 'Engineering']",['Volunteering'],No,[],['Event Planning'],"['Tutorials', 'Podcasts', 'Articles']",Bi-weekly
Charles Frank,STU1036,bonnieevans@example.org,Female,Biology,['Science'],"['AI', 'History', 'Biology']","['Volunteering', 'Drama']",No,[],"['Leadership', 'Design']",['Videos'],Weekly
Monica Johnson,STU1037,blackwellmelissa@example.org,Other,History,"['Arts', 'Reading', 'Travel']","['Mathematics', 'AI']","['Photography', 'Music Band', 'Robotics']",No,[],['Programming'],['Events'],Weekly
Kayla Douglas,STU1038,mitchellallison@example.net,Male,Computer Science,['Science'],"['Biology', 'Data Science', 'History']",['Music Band'],Yes,"['bad', 'address']","['Leadership', 'Programming']","['Videos', 'Articles', 'Podcasts']",Bi-weekly
Tiffany Lopez,STU1039,woodjennifer@example.com,Other,History,"['Travel', 'Music']","['Mathematics', 'Physics']","['Robotics', 'Sports Teams', 'Photography']",No,"['call', 'join']",['Public Speaking'],"['Podcasts', 'Tutorials']",Weekly
Karen Lindsey,STU1040,kimberlyjacobs@example.org,Male,Literature,"['Travel', 'Cooking']",['AI'],['Volunteering'],Yes,"['heart', 'full']",['Design'],['Videos'],Weekly
Andrew Moore,STU1041,bishoprebekah@example.org,Male,Mathematics,"['Arts', 'Technology', 'Science']",['Physics'],"['Robotics', 'Music Band']",Yes,"['recognize', 'dark']","['Leadership', 'Event Planning']",['Tutorials'],Monthly
Eric Hale,STU1042,cadams@example.org,Male,Computer Science,"['Technology', 'Travel', 'Arts']",['Data Science'],"['Volunteering', 'Debate', 'Drama']",Yes,[],['Programming'],"['Events', 'Articles']",Monthly
Anthony Cardenas,STU1043,leemark@example.org,Other,Engineering,['Cooking'],"['Biology', 'AI']","['Photography', 'Drama']",No,"['usually', 'power']",['Design'],"['Articles', 'Podcasts']",Weekly
Jennifer Boyer,STU1044,xdunn@example.com,Male,Literature,"['Travel', 'Arts', 'Writing']","['History', 'Engineering', 'Mathematics']","['Drama', 'Volunteering']",No,"['imagine', 'key']","['Programming', 'Design', 'Leadership']","['Podcasts', 'Videos']",Monthly
Michelle Evans,STU1045,rbarnett@example.org,Male,Physics,"['Cooking', 'Gaming']","['Data Science', 'Literature', 'Mathematics']","['Photography', 'Sports Teams']",Yes,"['stand', 'one']",['Leadership'],"['Podcasts', 'Events']",Bi-weekly
Sandra Walker,STU1046,allenmiller@example.com,Male,Biology,"['Writing', 'Music']","['AI', 'History']",['Sports Teams'],Yes,[],"['Writing', 'Design']",['Events'],Weekly
Nathan Mendez,STU1047,angela63@example.net,Other,Biology,"['Writing', 'Arts']","['Mathematics', 'Literature']","['Robotics', 'Music Band', 'Volunteering']",Yes,[],['Leadership'],"['Tutorials', 'Articles', 'Videos']",Bi-weekly
Kerry Hansen,STU1048,abigail87@example.org,Other,Physics,['Reading'],"['Data Science', 'Mathematics']","['Debate', 'Volunteering']",Yes,[],"['Leadership', 'Programming']","['Podcasts', 'Tutorials']",Bi-weekly
Keith Horton,STU1049,mackstephanie@example.net,Male,Computer Science,"['Reading', 'Cooking']","['Mathematics', 'Biology', 'Physics']","['Drama', 'Sports Teams', 'Debate']",No,[],['Event Planning'],"['Tutorials', 'Events', 'Articles']",Bi-weekly
Mr. George Johnson,STU1050,nortonjordan@example.net,Male,Literature,"['Travel', 'Sports']","['Mathematics', 'Biology']","['Music Band', 'Photography']",No,[],"['Event Planning', 'Writing', 'Programming']","['Podcasts', 'Articles', 'Events']",Weekly
Daniel Stone,STU1051,douglasburns@example.com,Male,Biology,"['Cooking', 'Writing']","['Mathematics', 'History']","['Volunteering', 'Photography', 'Music Band']",No,"['relationship', 'single']",['Programming'],['Tutorials'],Bi-weekly
Amanda Gordon,STU1052,mary53@example.net,Other,Biology,"['Sports', 'Science']",['Data Science'],"['Volunteering', 'Drama']",No,[],['Event Planning'],"['Events', 'Articles', 'Podcasts']",Monthly
Kathryn Rowland,STU1053,jarvismichael@example.org,Female,Literature,['Arts'],"['History', 'Data Science', 'Mathematics']","['Robotics', 'Debate', 'Photography']",Yes,[],"['Leadership', 'Public Speaking', 'Event Planning']",['Tutorials'],Weekly
Bradley Elliott,STU1054,mary88@example.net,Male,Literature,"['Writing', 'Reading', 'Technology']","['Mathematics', 'Data Science']","['Sports Teams', 'Debate']",Yes,[],"['Design', 'Writing', 'Programming']","['Tutorials', 'Podcasts']",Weekly
Mr. Dean Clark,STU1055,smiththomas@example.com,Female,Physics,"['Science', 'Gaming', 'Reading']",['Biology'],"['Sports Teams', 'Volunteering', 'Photography']",No,[],"['Leadership', 'Public Speaking', 'Writing']",['Videos'],Bi-weekly
Brian Parker,STU1056,waynehill@example.com,Male,Engineering,"['Science', 'Sports']","['AI', 'Biology', 'Engineering']","['Sports Teams', 'Volunteering', 'Music Band']",Yes,[],"['Public Speaking', 'Writing', 'Event Planning']","['Podcasts', 'Tutorials', 'Events']",Bi-weekly
Ashley Day,STU1057,melodyharris@example.com,Male,Biology,"['Arts', 'Science']","['Physics', 'Engineering']","['Music Band', 'Sports Teams', 'Debate']",No,[],['Leadership'],"['Events', 'Videos', 'Tutorials']",Monthly
Joseph Jacobs,STU1058,gabrielsharp@example.org,Male,Computer Science,"['Technology', 'Music', 'Science']","['Engineering', 'Data Science']","['Sports Teams', 'Music Band', 'Volunteering']",Yes,"['these', 'choice']","['Writing', 'Leadership', 'Public Speaking']",['Events'],Bi-weekly
Pamela Lee,STU1059,preynolds@example.org,Other,Biology,['Reading'],"['Literature', 'AI', 'History']","['Drama', 'Robotics']",No,"['find', 'night']",['Design'],"['Videos', 'Articles']",Monthly
Amy Parker,STU1060,dustincook@example.org,Other,Engineering,['Cooking'],"['Data Science', 'Biology', 'Literature']",['Debate'],No,"['should', 'term']",['Programming'],['Events'],Bi-weekly
Jonathan Todd,STU1061,william67@example.org,Male,Literature,['Reading'],"['Biology', 'Physics', 'Mathematics']","['Robotics', 'Debate', 'Volunteering']",No,"['process', 'direction']","['Writing', 'Programming', 'Leadership']","['Articles', 'Events']",Monthly
Sarah Mitchell,STU1062,karen03@example.com,Male,History,['Cooking'],['Data Science'],"['Robotics', 'Photography', 'Volunteering']",Yes,[],"['Writing', 'Public Speaking', 'Design']",['Events'],Weekly
Deanna Brown,STU1063,carrlaura@example.net,Other,Engineering,"['Reading', 'Writing']",['AI'],"['Photography', 'Music Band']",Yes,[],['Programming'],"['Events', 'Tutorials', 'Articles']",Weekly
Micheal Soto,STU1064,franklinkimberly@example.net,Female,History,['Science'],"['Engineering', 'Physics', 'Mathematics']","['Robotics', 'Photography']",No,"['still', 'best']","['Event Planning', 'Leadership']",['Videos'],Weekly
Thomas Perry,STU1065,jeffreyguerrero@example.com,Female,Computer Science,['Travel'],"['Literature', 'History']","['Sports Teams', 'Music Band']",Yes,"['within', 'leg']","['Programming', 'Event Planning', 'Public Speaking']","['Articles', 'Tutorials', 'Podcasts']",Monthly
Raymond Lane,STU1066,haleykenneth@example.com,Male,Engineering,['Travel'],"['Biology', 'Engineering']","['Robotics', 'Drama']",No,[],"['Public Speaking', 'Programming', 'Event Planning']",['Podcasts'],Bi-weekly
Kristina Gray,STU1067,amandasalinas@example.net,Other,Biology,"['Reading', 'Music', 'Travel']","['Engineering', 'Physics', 'Data Science']",['Debate'],Yes,"['network', 'reason']","['Programming', 'Public Speaking']","['Videos', 'Articles', 'Events']",Bi-weekly
Deborah Lewis,STU1068,jack99@example.org,Female,Biology,"['Gaming', 'Sports']","['Data Science', 'Physics']","['Sports Teams', 'Debate']",Yes,[],['Event Planning'],"['Podcasts', 'Articles', 'Events']",Bi-weekly
Faith Randall,STU1069,benjamin04@example.net,Other,Literature,"['Sports', 'Cooking', 'Writing']","['Literature', 'Biology', 'Physics']","['Robotics', 'Music Band', 'Drama']",Yes,"['often', 'best']","['Programming', 'Design', 'Event Planning']","['Articles', 'Videos', 'Events']",Weekly
Larry Rivera,STU1070,whitney54@example.org,Male,Literature,['Technology'],"['Mathematics', 'History']","['Debate', 'Robotics']",Yes,[],['Event Planning'],"['Videos', 'Articles']",Monthly
Yvonne Huff,STU1071,michaelalexander@example.net,Other,Biology,"['Cooking', 'Music', 'Science']","['AI', 'Literature', 'Engineering']","['Debate', 'Sports Teams', 'Photography']",Yes,[],['Programming'],"['Podcasts', 'Events', 'Articles']",Monthly
Erica Mcguire,STU1072,thomas98@example.net,Other,Biology,['Technology'],['Biology'],"['Photography', 'Volunteering', 'Robotics']",No,[],"['Programming', 'Public Speaking', 'Design']",['Events'],Weekly
Amanda Long MD,STU1073,brianbowen@example.net,Female,Literature,"['Writing', 'Sports']",['Biology'],"['Photography', 'Sports Teams']",Yes,[],"['Leadership', 'Public Speaking']","['Articles', 'Events']",Monthly
Dennis Benson,STU1074,alexandriajohnson@example.org,Female,Engineering,"['Writing', 'Cooking', 'Sports']",['History'],['Robotics'],No,[],"['Programming', 'Event Planning']",['Events'],Weekly
Crystal Hernandez,STU1075,sacosta@example.org,Other,Biology,['Technology'],"['Engineering', 'Biology', 'History']",['Robotics'],No,[],"['Public Speaking', 'Event Planning', 'Leadership']",['Videos'],Monthly
Justin Miller,STU1076,mendezchristie@example.org,Other,Physics,['Arts'],"['Physics', 'AI']",['Volunteering'],Yes,"['two', 'carry']","['Leadership', 'Programming']","['Tutorials', 'Articles', 'Videos']",Monthly
Teresa Tyler,STU1077,robertconley@example.net,Female,Literature,"['Science', 'Writing', 'Technology']",['AI'],"['Sports Teams', 'Music Band', 'Photography']",No,[],['Writing'],"['Podcasts', 'Tutorials']",Weekly
Blake Blair,STU1078,davidlopez@example.org,Other,Mathematics,"['Technology', 'Writing', 'Sports']",['AI'],"['Robotics', 'Sports Teams']",No,[],"['Programming', 'Design']","['Articles', 'Videos']",Weekly
Tanya Gonzalez,STU1079,udawson@example.org,Female,Physics,"['Technology', 'Writing']","['Engineering', 'Literature']","['Robotics', 'Volunteering']",Yes,[],"['Public Speaking', 'Programming', 'Leadership']","['Tutorials', 'Videos']",Weekly
Kyle Cox,STU1080,ifleming@example.org,Other,Literature,"['Travel', 'Music']","['AI', 'Mathematics']",['Debate'],No,"['compare', 'whether']",['Programming'],['Podcasts'],Monthly
Christine Richardson,STU1081,george33@example.org,Other,Biology,['Technology'],"['Literature', 'AI', 'Data Science']",['Robotics'],No,[],['Design'],"['Videos', 'Tutorials', 'Events']",Bi-weekly
David Rodriguez,STU1082,shawn05@example.com,Other,Computer Science,"['Gaming', 'Writing', 'Sports']","['History', 'Biology', 'Literature']",['Debate'],Yes,"['stay', 'already']",['Programming'],['Events'],Monthly
Richard Castillo,STU1083,wmoran@example.org,Other,History,"['Reading', 'Writing']","['Physics', 'Data Science', 'Biology']","['Robotics', 'Volunteering', 'Sports Teams']",No,[],"['Programming', 'Event Planning']","['Tutorials', 'Videos', 'Podcasts']",Bi-weekly
David Garza,STU1084,amanda50@example.org,Other,Mathematics,"['Science', 'Music']",['Engineering'],['Sports Teams'],Yes,"['discuss', 'night']",['Writing'],"['Podcasts', 'Events', 'Videos']",Bi-weekly
Cynthia Farmer,STU1085,donald22@example.net,Other,Mathematics,"['Technology', 'Reading', 'Cooking']","['Biology', 'Mathematics']",['Music Band'],No,[],['Event Planning'],"['Podcasts', 'Articles', 'Events']",Weekly
Holly Kaufman MD,STU1086,curtistonya@example.com,Female,Computer Science,"['Arts', 'Travel', 'Cooking']","['Literature', 'Biology']","['Volunteering', 'Sports Teams', 'Drama']",No,"['so', 'owner']",['Leadership'],"['Podcasts', 'Articles']",Bi-weekly
Evelyn Bryant,STU1087,deborahthompson@example.net,Male,Engineering,"['Writing', 'Science']","['Literature', 'History', 'Biology']",['Debate'],No,[],"['Leadership', 'Programming']",['Events'],Bi-weekly
Vicki Schultz,STU1088,robert72@example.org,Other,Engineering,"['Arts', 'Cooking']",['Biology'],"['Sports Teams', 'Debate', 'Volunteering']",Yes,"['action', 'hot']","['Writing', 'Public Speaking', 'Programming']",['Videos'],Monthly
Jennifer Parks,STU1089,hornenorma@example.com,Male,Physics,['Cooking'],"['AI', 'Engineering', 'Literature']","['Drama', 'Photography', 'Volunteering']",No,[],['Programming'],['Videos'],Monthly
Jeffrey Strong,STU1090,nicolas85@example.org,Female,Engineering,['Writing'],"['Engineering', 'History']",['Robotics'],Yes,"['scene', 'serve']","['Writing', 'Public Speaking']","['Videos', 'Tutorials']",Monthly
Samantha Fritz,STU1091,mistysanchez@example.com,Other,Mathematics,"['Music', 'Sports']",['Data Science'],['Robotics'],No,[],"['Public Speaking', 'Writing']","['Events', 'Videos', 'Tutorials']",Monthly
Dan Grant,STU1092,lechristopher@example.net,Female,Engineering,"['Sports', 'Technology', 'Writing']","['Literature', 'History', 'Data Science']",['Robotics'],Yes,[],"['Writing', 'Leadership', 'Event Planning']","['Tutorials', 'Articles', 'Podcasts']",Bi-weekly
Brian Thompson,STU1093,cortezashley@example.com,Other,Literature,['Travel'],"['Data Science', 'Literature']","['Music Band', 'Drama']",Yes,"['store', 'field']","['Event Planning', 'Leadership']","['Tutorials', 'Articles']",Bi-weekly
Roger King,STU1094,nicholas47@example.net,Female,History,"['Writing', 'Music', 'Travel']",['Engineering'],"['Volunteering', 'Sports Teams', 'Music Band']",Yes,"['official', 'sometimes']","['Event Planning', 'Public Speaking', 'Programming']",['Events'],Bi-weekly
Amber Anderson,STU1095,johnmedina@example.com,Other,History,"['Science', 'Sports', 'Reading']","['Physics', 'History', 'Literature']","['Drama', 'Robotics']",Yes,[],"['Writing', 'Public Speaking', 'Event Planning']","['Tutorials', 'Podcasts', 'Events']",Weekly
Dr. Adrienne Harvey,STU1096,emason@example.net,Female,Mathematics,['Writing'],"['AI', 'Engineering', 'Physics']",['Photography'],Yes,[],['Leadership'],['Podcasts'],Monthly
Patricia Lewis,STU1097,murraycynthia@example.com,Male,Computer Science,"['Writing', 'Technology']","['Mathematics', 'Biology', 'Physics']","['Debate', 'Volunteering']",Yes,"['they', 'Mrs']",['Design'],"['Articles', 'Tutorials']",Weekly
Christopher Forbes,STU1098,jillian15@example.com,Female,Engineering,"['Music', 'Science']","['Physics', 'AI']",['Music Band'],Yes,[],"['Design', 'Event Planning', 'Writing']","['Podcasts', 'Videos', 'Articles']",Weekly
Jorge Henderson,STU1099,zjames@example.com,Other,Biology,['Travel'],"['Engineering', 'Literature']","['Debate', 'Sports Teams']",No,[],"['Programming', 'Public Speaking', 'Writing']",['Events'],Weekly
Becky Mccormick,STU1100,brianpalmer@example.com,Male,Biology,['Arts'],"['Literature', 'AI', 'History']","['Volunteering', 'Drama', 'Robotics']",No,"['fill', 'local']",['Public Speaking'],"['Videos', 'Articles']",Monthly
Amanda Brown,STU1101,xavier64@example.net,Male,Physics,"['Writing', 'Science']","['Physics', 'Mathematics']","['Sports Teams', 'Robotics', 'Volunteering']",Yes,[],"['Leadership', 'Programming']","['Tutorials', 'Podcasts']",Monthly
Joseph Wolfe,STU1102,garciavictor@example.net,Male,Mathematics,"['Music', 'Reading']",['Mathematics'],['Debate'],Yes,"['in', 'right']","['Writing', 'Programming']","['Events', 'Tutorials']",Bi-weekly
Gina Conrad,STU1103,maymarissa@example.net,Female,Biology,"['Sports', 'Technology', 'Cooking']","['Mathematics', 'Literature', 'Data Science']",['Photography'],Yes,[],"['Design', 'Event Planning', 'Writing']",['Articles'],Monthly
Gregory Tran,STU1104,hwest@example.org,Female,Computer Science,['Technology'],"['Data Science', 'Literature']","['Debate', 'Drama', 'Robotics']",Yes,[],"['Leadership', 'Design', 'Programming']","['Podcasts', 'Tutorials']",Bi-weekly
Jessica Madden,STU1105,smills@example.com,Female,Literature,"['Technology', 'Writing', 'Arts']",['Physics'],"['Drama', 'Sports Teams', 'Volunteering']",No,[],"['Writing', 'Programming', 'Leadership']","['Podcasts', 'Events', 'Tutorials']",Bi-weekly
Tracey Norman,STU1106,danielgeorge@example.org,Male,Literature,['Arts'],"['Literature', 'Data Science']","['Robotics', 'Sports Teams']",Yes,"['because', 'skin']",['Programming'],"['Events', 'Videos', 'Podcasts']",Weekly
Matthew Lawrence,STU1107,nathanwilson@example.com,Other,Mathematics,['Writing'],"['Mathematics', 'Engineering', 'Data Science']",['Volunteering'],No,"['check', 'phone']","['Programming', 'Event Planning']","['Events', 'Podcasts', 'Tutorials']",Monthly
Lori Lewis,STU1108,caseyphillips@example.com,Male,Engineering,"['Music', 'Gaming']",['Mathematics'],"['Volunteering', 'Music Band']",No,"['set', 'answer']","['Programming', 'Leadership', 'Writing']",['Events'],Weekly
Eduardo Rogers,STU1109,tashaday@example.net,Other,Physics,['Travel'],"['Data Science', 'Mathematics']","['Debate', 'Drama', 'Volunteering']",No,"['friend', 'fight']","['Writing', 'Design']",['Events'],Bi-weekly
Nancy Stewart,STU1110,glenn60@example.net,Female,Physics,"['Travel', 'Music']","['Engineering', 'AI']","['Robotics', 'Debate']",No,[],"['Programming', 'Public Speaking']",['Tutorials'],Weekly
Rebecca Walker,STU1111,barnesmichael@example.org,Male,Biology,['Reading'],"['Data Science', 'History', 'Literature']","['Music Band', 'Robotics']",Yes,"['ability', 'hotel']","['Design', 'Leadership', 'Public Speaking']","['Articles', 'Videos']",Bi-weekly
Kaitlin Wilson,STU1112,renee93@example.org,Female,Engineering,"['Music', 'Arts', 'Science']","['Mathematics', 'Biology']","['Sports Teams', 'Drama']",Yes,[],"['Design', 'Leadership', 'Public Speaking']",['Videos'],Weekly
Natalie Barron,STU1113,mclark@example.org,Male,Physics,"['Gaming', 'Technology', 'Arts']",['AI'],['Sports Teams'],Yes,[],"['Writing', 'Public Speaking', 'Event Planning']",['Tutorials'],Monthly
Sandra Rodriguez,STU1114,dwood@example.org,Male,Literature,"['Reading', 'Gaming']",['Engineering'],"['Drama', 'Robotics']",No,[],['Writing'],"['Videos', 'Podcasts']",Weekly
Amanda Phillips,STU1115,mmitchell@example.net,Female,Computer Science,"['Travel', 'Arts']","['Mathematics', 'Data Science', 'Biology']",['Drama'],Yes,"['chance', 'bar']","['Leadership', 'Event Planning', 'Programming']","['Tutorials', 'Videos']",Bi-weekly
Jennifer Logan,STU1116,nelsonjerry@example.net,Female,History,"['Writing', 'Gaming', 'Travel']","['History', 'Literature', 'AI']","['Robotics', 'Sports Teams', 'Music Band']",No,"['wide', 'hair']",['Leadership'],"['Tutorials', 'Events']",Monthly
Alyssa Williams,STU1117,richard29@example.com,Other,Computer Science,"['Technology', 'Science']",['Data Science'],['Volunteering'],No,"['firm', 'great']","['Leadership', 'Public Speaking', 'Writing']","['Videos', 'Podcasts']",Monthly
Jennifer Weiss,STU1118,kevin79@example.net,Male,Biology,['Science'],"['Engineering', 'History']","['Music Band', 'Sports Teams']",Yes,"['draw', 'sit']","['Leadership', 'Programming', 'Design']","['Articles', 'Podcasts']",Weekly
Judy Johnson,STU1119,george63@example.com,Female,Computer Science,"['Reading', 'Technology']","['Literature', 'Data Science']","['Robotics', 'Music Band', 'Volunteering']",No,"['capital', 'become']","['Design', 'Event Planning', 'Programming']","['Podcasts', 'Articles', 'Events']",Weekly
Joseph Dixon,STU1120,wendy96@example.com,Other,Engineering,['Technology'],['Physics'],"['Music Band', 'Photography', 'Robotics']",Yes,"['mission', 'too']",['Programming'],"['Videos', 'Tutorials', 'Articles']",Bi-weekly
Amber Murphy,STU1121,alexander99@example.com,Female,Mathematics,"['Arts', 'Sports']","['History', 'AI']",['Sports Teams'],No,[],['Public Speaking'],"['Events', 'Articles']",Monthly
Jamie Kennedy,STU1122,uwashington@example.org,Male,Computer Science,"['Arts', 'Reading']","['Literature', 'Mathematics']",['Photography'],No,[],"['Writing', 'Leadership', 'Programming']",['Events'],Monthly
